ticker,company_name,cik
ADBE,Adobe Inc.,796343
AMD,Advanced Micro Devices Inc.,2488
ABNB,Airbnb Inc.,1559720
ALNY,Alnylam Pharmaceuticals Inc.,1178670
GOOGL,Alphabet Inc. Class A,1652044
GOOG,Alphabet Inc. Class C,1652044
AMZN,Amazon.com Inc.,1018724
AEP,American Electric Power Company Inc.,4904
AMGN,Amgen Inc.,318154
ADI,Analog Devices Inc.,6281
AAPL,Apple Inc.,320193
AMAT,Applied Materials Inc.,6951
APP,AppLovin Corp.,1751008
ARM,Arm Holdings plc,1973239
ASML,ASML Holding N.V.,937966
SNDK,Sandisk Corp.,2023554
WMT,Walmart Inc.,104169
ADSK,Autodesk Inc.,769397
ADP,Automatic Data Processing Inc.,8670
AXON,Axon Enterprise Inc.,1069183
BKR,Baker Hughes Company,1701605
BIIB,Biogen Inc.,875045
BKNG,Booking Holdings Inc.,1075531
AVGO,Broadcom Inc.,1730168
CDNS,Cadence Design Systems Inc.,813672
CDW,CDW Corp.,1402057
CHTR,Charter Communications Inc.,1091667
CTAS,Cintas Corp.,723254
CSCO,Cisco Systems Inc.,858877
CCEP,Coca-Cola Europacific Partners plc,1650107
CTSH,Cognizant Technology Solutions Corp.,1058290
CMCSA,Comcast Corp.,1166691
CEG,Constellation Energy Corp.,1868275
CPRT,Copart Inc.,900075
CSGP,CoStar Group Inc.,1057352
COST,Costco Wholesale Corp.,909832
CRWD,CrowdStrike Holdings Inc.,1535527
CSX,CSX Corp.,277948
DDOG,Datadog Inc.,1561550
DXCM,DexCom Inc.,1093557
FANG,Diamondback Energy Inc.,1539838
DASH,DoorDash Inc.,1792789
EA,Electronic Arts Inc.,712515
EXC,Exelon Corp.,1109357
FAST,Fastenal Co.,815556
FTNT,Fortinet Inc.,1262039
GEHC,GE HealthCare Technologies Inc.,1932393
GILD,Gilead Sciences Inc.,882095
HON,Honeywell International Inc.,773840
IDXX,IDEXX Laboratories Inc.,874716
INTC,Intel Corp.,50863
INTU,Intuit Inc.,896878
ISRG,Intuitive Surgical Inc.,1035267
KDP,Keurig Dr Pepper Inc.,1418135
KLAC,KLA Corp.,319201
KHC,Kraft Heinz Co.,1637459
LRCX,Lam Research Corp.,707549
LIN,Linde plc,1707925
LULU,Lululemon Athletica Inc.,1397187
MAR,Marriott International Inc.,1048286
MRVL,Marvell Technology Inc.,1835632
MELI,MercadoLibre Inc.,1099590
META,Meta Platforms Inc.,1326801
MCHP,Microchip Technology Inc.,827054
MU,Micron Technology Inc.,723125
MSFT,Microsoft Corp.,789019
MSTR,MicroStrategy Inc.,1050446
MDLZ,Mondelez International Inc.,1103982
MDB,MongoDB Inc.,1441816
MNST,Monster Beverage Corp.,865752
NFLX,Netflix Inc.,1065280
NVDA,NVIDIA Corp.,1045810
NXPI,NXP Semiconductors N.V.,1413447
ORLY,O'Reilly Automotive Inc.,898173
ODFL,Old Dominion Freight Line Inc.,878927
ON,ON Semiconductor Corp.,1097864
PCAR,PACCAR Inc.,75362
PLTR,Palantir Technologies Inc.,1321655
PANW,Palo Alto Networks Inc.,1327567
PAYX,Paychex Inc.,723531
PYPL,PayPal Holdings Inc.,1633917
PDD,PDD Holdings Inc.,1737806
PEP,PepsiCo Inc.,77476
QCOM,QUALCOMM Inc.,804328
REGN,Regeneron Pharmaceuticals Inc.,872589
ROP,Roper Technologies Inc.,882835
ROST,Ross Stores Inc.,745732
SHOP,Shopify Inc.,1594805
SBUX,Starbucks Corp.,829224
SNPS,Synopsys Inc.,883241
TTWO,Take-Two Interactive Software Inc.,946581
TMUS,T-Mobile US Inc.,1283699
TSLA,Tesla Inc.,1318605
TXN,Texas Instruments Inc.,97476
TTD,The Trade Desk Inc.,1671933
VRSK,Verisk Analytics Inc.,1442145
VRTX,Vertex Pharmaceuticals Inc.,875320
WBD,Warner Bros. Discovery Inc.,1437107
WDAY,Workday Inc.,1327811
XEL,Xcel Energy Inc.,72903
ZS,Zscaler Inc.,1713683
